productCode,productName,warehouseCode,quantityInStock,total_ordered_item,total_revenue,avg_monthly_sales,avg_monthly_revenue
S18_3232,"1992 Ferrari 360 Spider red",b,8347,1808,276839.98,100,16669
S12_1108,"2001 Ferrari Enzo",b,3619,1019,190755.86,57,11646
S10_1949,"1952 Alpine Renault 1300",b,7305,961,190017.96,53,11441
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",a,5582,985,170686.00,55,9432
S12_1099,"1968 Ford Mustang",b,68,933,161531.48,52,8572
S18_2795,"1928 Mercedes-Benz SSK",c,548,880,132275.98,49,8167
S18_4721,"1957 Corvette Convertible",b,1249,1013,130749.31,56,7872
S18_1662,"1980s Black Hawk Helicopter",a,5330,1040,144959.91,58,7745
S24_3856,"1956 Porsche 356A Coupe",b,6600,1052,134240.71,58,7715
S12_3891,"1969 Ford Falcon",b,1049,965,152543.02,54,7606
S18_2238,"1998 Chrysler Plymouth Prowler",b,4724,986,142530.63,55,7444
S10_4757,"1972 Alfa Romeo GTA",b,3252,1030,127924.32,57,7315
S18_2319,"1964 Mercedes Tour Bus",d,8258,1053,117669.66,59,7180
S12_3148,"1969 Corvair Monza",b,6906,963,132363.79,54,7032
S18_1984,"1995 Honda Civic",b,9772,917,119050.95,51,7029
S12_2823,"2002 Suzuki XREO",a,9997,1028,135767.03,57,6968
S18_1749,"1917 Grand Touring Sedan",c,2724,918,140535.60,51,6936
S18_3482,"1976 Ford Gran Torino",b,9127,915,121890.60,51,6725
S18_3140,"1903 Ford Model A",c,3913,883,111528.82,49,6700
S24_2011,"18th century schooner",d,1898,1011,112427.12,56,6626
